AD5	E1A-9S	+	509	2	128,406	0,719
AD5	E1A-10S	+	509	3	128,121,406	0,344,719
AD5	E1A-11S	+	509	3	128,259,406	0,344,719
AD5	E1A-s	+	509	2	465,406	0,719
AD5	E1A-l	+	509	2	603,406	0,719
AD5	E1B-156R	+	1701	3	554,235,478	0,1574,1893
AD5	E1B-93R	+	1701	3	554,293,478	0,1516,1893
AD5	E1B-55	+	1701	2	1809,478	0,1893
AD5	E1B-19	+	1701	2	554,478	0,1893
AD5	E1B-19IX	+	1701	2	187,478	0,1893
AD5	IX	+	3581	1	491	0
AD5	AdPol	-	4056	4	4728,187,77,68	0,10054,20611,22927
AD5	TP	-	4056	4	6533,187,77,68	0,10054,20611,22927
AD5	IVa2	-	4056	2	1371,131	0,1649
AD5	L5-XYZ-Fiber	+	6048	7	41,72,90,106,192,107,1762	0,1062,3595,21785,22250,23823,24993
AD5	L5-XZ-Fiber	+	6048	6	41,72,90,106,107,1762	0,1062,3595,21785,23823,24993
AD5	L5-Z-Fiber	+	6048	5	41,72,90,107,1762	0,1062,3595,23823,24993
AD5	L5-YZ-Fiber	+	6048	6	41,72,90,192,107,1762	0,1062,3595,22250,23823,24993
AD5	L5-XY-Fiber	+	6048	6	41,72,90,106,192,1762	0,1062,3595,21785,22250,24993
AD5	L5-Y-Fiber	+	6048	5	41,72,90,192,1762	0,1062,3595,22250,24993
AD5	L5-X-Fiber	+	6048	5	41,72,90,106,1762	0,1062,3595,21785,24993
AD5	L5-Fiber	+	6048	4	41,72,90,1762	0,1062,3595,24993
AD5	L6-E3.10K	+	6048	5	41,72,90,192,421	0,1062,3595,22250,23335
AD5	L4-pVIIIalt	+	6048	4	41,72,90,1198	0,1062,3595,20941
AD5	L4-pVIII	+	6048	4	41,72,90,1475	0,1062,3595,20664
AD5	L4-33Kalt	+	6048	5	41,72,90,317,1475	0,1062,3595,20145,20664
AD5	L4-33K	+	6048	5	41,72,90,353,1475	0,1062,3595,20109,20664
AD5	L4-Trunc22K	+	6048	5	41,72,90,64,1475	0,1062,3595,20398,20664
AD5	L4-22K	+	6048	4	41,72,90,2030	0,1062,3595,20109
AD5	L4-100K-VIII	+	6048	5	41,72,90,166,354	0,1062,3595,17999,21785
AD5	L4-100K-33K	+	6048	6	41,72,90,270,353,1475	0,1062,3595,17999,20109,20664
AD5	L4-100KTrunc33	+	6048	6	41,72,90,166,64,1475	0,1062,3595,17999,20398,20664
AD5	L4-100Ktr4	+	6048	6	41,72,90,508,353,1475	0,1062,3595,17999,20109,20664
AD5	L4-100Ktr3	+	6048	6	41,72,90,235,353,1475	0,1062,3595,17999,20109,20664
AD5	L4-100Ktr2	+	6048	6	41,72,90,166,353,1475	0,1062,3595,17999,20109,20664
AD5	L4-100Ktr1	+	6048	6	41,72,90,139,353,1475	0,1062,3595,17999,20109,20664
AD5	L4-100Kalt	+	6048	5	41,72,90,2463,1475	0,1062,3595,17999,20664
AD5	L4-100K	+	6048	4	41,72,90,4140	0,1062,3595,17999
AD5	L3-23K	+	6048	4	41,72,90,792	0,1062,3595,15557
AD5	L3-Hexon	+	6048	4	41,72,90,3592	0,1062,3595,12757
AD5	L3-pVI	+	6048	4	41,72,90,4396	0,1062,3595,11953
AD5	L2-pX	+	6048	4	41,72,90,296	0,1062,3595,11627
AD5	L2-Unk13K	+	6048	4	41,72,90,602	0,1062,3595,11321
AD5	L2-V	+	6048	4	41,72,90,1451	0,1062,3595,10472
AD5	L2-pVII	+	6048	4	41,72,90,2243	0,1062,3595,9680
AD5	L2-pVIIalt	+	6048	4	41,72,90,2307	0,1062,3595,9616
AD5	L2-pVIIalt2	+	6048	4	41,72,90,2313	0,1062,3595,9610
AD5	L2-Penton	+	6048	4	41,72,90,3817	0,1062,3595,8106
AD5	L1-IIIa	+	6048	4	41,72,90,1799	0,1062,3595,6269
AD5	L1-52K	+	6048	4	41,72,90,3067	0,1062,3595,5001
AD5	MLi-IIIa	+	6048	5	41,72,440,90,1799	0,1062,1903,3595,6269
AD5	MLi-52K	+	6048	5	41,72,440,90,3067	0,1062,1903,3595,5001
AD5	E4-Unk	-	22373	4	1668,77,179,67	0,2294,11530,13168
AD5	E4orf6-DBP	-	22373	3	1668,179,67	0,11530,13168
AD5	E4-DBP	-	22373	3	1668,77,67	0,2294,13168
AD5	UXP	-	22373	3	1668,77,195	0,2294,8494
AD5	DBPalt-Late	-	22373	2	1668,61	0,3465
AD5	DBP-Late	-	22373	3	1668,77,61	0,2294,3465
AD5	DBPalt	-	22373	2	1668,68	0,4610
AD5	DBP	-	22373	3	1668,77,68	0,2294,4610
AD5	E3-Fiber	+	27567	3	372,192,1762	0,731,3474
AD5	E3.14K	+	27567	3	372,192,430	0,731,2879
AD5	E3.RIDb	+	27567	3	372,192,1005	0,731,2304
AD5	E3.RIDa	+	27567	3	372,192,1109	0,731,2200
AD5	E3.10K	+	27567	3	372,192,421	0,731,1816
AD5	E3.19K	+	27567	2	372,1506	0,731
AD5	E3.CR1	+	27567	2	372,1506	0,731
AD5	E3.12K	+	27567	1	2237	0
AD5	E4orf1	-	32805	1	2803	0
AD5	E4orf2	-	32805	2	2299,67	0,2736
AD5	E4orf3	-	32805	2	1927,67	0,2736
AD5	E4orf4	-	32805	2	1627,67	0,2736
AD5	E4orf6	-	32805	2	1277,67	0,2736
AD5	E4orf6-7alt	-	32805	3	387,426,67	0,1098,2736
AD5	E4orf6-7	-	32805	3	387,179,67	0,1098,2736
